"neighbourhood_ID","name"
1,"Allerton"
2,"Baychester"
3,"Belmont"
4,"Bronxdale"
5,"Castle Hill"
6,"City Island"
7,"Claremont Village"
8,"Clason Point"
9,"Co-op City"
10,"Concourse"
11,"Concourse Village"
12,"East Morrisania"
13,"Eastchester"
14,"Edenwald"
15,"Fieldston"
16,"Fordham"
17,"Highbridge"
18,"Hunts Point"
19,"Kingsbridge"
20,"Longwood"
21,"Melrose"
22,"Morris Heights"
23,"Morris Park"
24,"Morrisania"
25,"Mott Haven"
26,"Mount Eden"
27,"Mount Hope"
28,"North Riverdale"
29,"Norwood"
30,"Olinville"
31,"Parkchester"
32,"Pelham Bay"
33,"Pelham Gardens"
34,"Port Morris"
35,"Riverdale"
36,"Schuylerville"
37,"Soundview"
38,"Spuyten Duyvil"
39,"Throgs Neck"
40,"Tremont"
41,"Unionport"
42,"University Heights"
43,"Van Nest"
44,"Wakefield"
45,"West Farms"
46,"Westchester Square"
47,"Williamsbridge"
48,"Woodlawn"
49,"Bath Beach"
50,"Bay Ridge"
51,"Bedford-Stuyvesant"
52,"Bensonhurst"
53,"Bergen Beach"
54,"Boerum Hill"
55,"Borough Park"
56,"Brighton Beach"
57,"Brooklyn Heights"
58,"Brownsville"
59,"Bushwick"
60,"Canarsie"
61,"Carroll Gardens"
62,"Clinton Hill"
63,"Cobble Hill"
64,"Columbia St"
65,"Coney Island"
66,"Crown Heights"
67,"Cypress Hills"
68,"DUMBO"
69,"Downtown Brooklyn"
70,"Dyker Heights"
71,"East Flatbush"
72,"East New York"
73,"Flatbush"
74,"Flatlands"
75,"Fort Greene"
76,"Fort Hamilton"
77,"Gowanus"
78,"Gravesend"
79,"Greenpoint"
80,"Kensington"
81,"Manhattan Beach"
82,"Midwood"
83,"Mill Basin"
84,"Navy Yard"
85,"Park Slope"
86,"Prospect Heights"
87,"Prospect-Lefferts Gardens"
88,"Red Hook"
89,"Sea Gate"
90,"Sheepshead Bay"
91,"South Slope"
92,"Sunset Park"
93,"Vinegar Hill"
94,"Williamsburg"
95,"Windsor Terrace"
96,"Battery Park City"
97,"Chelsea"
98,"Chinatown"
99,"Civic Center"
100,"East Harlem"
101,"East Village"
102,"Financial District"
103,"Flatiron District"
104,"Gramercy"
105,"Greenwich Village"
106,"Harlem"
107,"Hell's Kitchen"
108,"Inwood"
109,"Kips Bay"
110,"Little Italy"
111,"Lower East Side"
112,"Marble Hill"
113,"Midtown"
114,"Morningside Heights"
115,"Murray Hill"
116,"NoHo"
117,"Nolita"
118,"Roosevelt Island"
119,"SoHo"
120,"Stuyvesant Town"
121,"Theater District"
122,"Tribeca"
123,"Two Bridges"
124,"Upper East Side"
125,"Upper West Side"
126,"Washington Heights"
127,"West Village"
128,"Arverne"
129,"Astoria"
130,"Bay Terrace"
131,"Bayside"
132,"Bayswater"
133,"Belle Harbor"
134,"Bellerose"
135,"Breezy Point"
136,"Briarwood"
137,"Cambria Heights"
138,"College Point"
139,"Corona"
140,"Ditmars Steinway"
141,"Douglaston"
142,"East Elmhurst"
143,"Edgemere"
144,"Elmhurst"
145,"Far Rockaway"
146,"Flushing"
147,"Forest Hills"
148,"Fresh Meadows"
149,"Glendale"
150,"Hollis"
151,"Holliswood"
152,"Howard Beach"
153,"Jackson Heights"
154,"Jamaica"
155,"Jamaica Estates"
156,"Jamaica Hills"
157,"Kew Gardens"
158,"Kew Gardens Hills"
159,"Laurelton"
160,"Little Neck"
161,"Long Island City"
162,"Maspeth"
163,"Middle Village"
164,"Neponsit"
165,"Ozone Park"
166,"Queens Village"
167,"Rego Park"
168,"Richmond Hill"
169,"Ridgewood"
170,"Rockaway Beach"
171,"Rosedale"
172,"South Ozone Park"
173,"Springfield Gardens"
174,"St. Albans"
175,"Sunnyside"
176,"Whitestone"
177,"Woodhaven"
178,"Woodside"
179,"Arden Heights"
180,"Arrochar"
181,"Bay Terrace, Staten Island"
182,"Bull's Head"
183,"Castleton Corners"
184,"Clifton"
185,"Concord"
186,"Dongan Hills"
187,"Eltingville"
188,"Emerson Hill"
189,"Fort Wadsworth"
190,"Graniteville"
191,"Grant City"
192,"Great Kills"
193,"Grymes Hill"
194,"Howland Hook"
195,"Huguenot"
196,"Lighthouse Hill"
197,"Mariners Harbor"
198,"Midland Beach"
199,"New Brighton"
200,"New Dorp"
201,"New Dorp Beach"
202,"New Springville"
203,"Oakwood"
204,"Port Richmond"
205,"Prince's Bay"
206,"Randall Manor"
207,"Richmondtown"
208,"Rosebank"
209,"Rossville"
210,"Shore Acres"
211,"Silver Lake"
212,"South Beach"
213,"St. George"
214,"Stapleton"
215,"Todt Hill"
216,"Tompkinsville"
217,"Tottenville"
218,"West Brighton"
219,"Westerleigh"
220,"Willowbrook"
221,"Woodrow"
